pirxName,pid,position,pDate
Austrian Grand Prix,13,1,2020
Austrian Grand Prix,6,2,2020
Austrian Grand Prix,10,3,2020
Austrian Grand Prix,12,4,2020
Austrian Grand Prix,11,5,2020
Austrian Grand Prix,14,6,2020
Austrian Grand Prix,3,7,2020
Austrian Grand Prix,20,8,2020
Austrian Grand Prix,2,9,2020
Austrian Grand Prix,5,10,2020
Austrian Grand Prix,21,11,2020
Austrian Grand Prix,4,12,2020
Austrian Grand Prix,17,13,2020
Austrian Grand Prix,18,,2020
Austrian Grand Prix,19,,2020
Austrian Grand Prix,16,,2020
Austrian Grand Prix,1,,2020
Austrian Grand Prix,23,,2020
Austrian Grand Prix,7,,2020
Austrian Grand Prix,9,,2020
Styrian Grand Prix,12,1,2020
Styrian Grand Prix,13,2,2020
Styrian Grand Prix,18,3,2020
Styrian Grand Prix,17,4,2020
Styrian Grand Prix,10,5,2020
Styrian Grand Prix,14,6,2020
Styrian Grand Prix,16,7,2020
Styrian Grand Prix,19,8,2020
Styrian Grand Prix,11,9,2020
Styrian Grand Prix,4,10,2020
Styrian Grand Prix,1,11,2020
Styrian Grand Prix,9,12,2020
Styrian Grand Prix,7,13,2020
Styrian Grand Prix,2,14,2020
Styrian Grand Prix,3,15,2020
Styrian Grand Prix,23,16,2020
Styrian Grand Prix,21,17,2020
Styrian Grand Prix,6,,2020
Styrian Grand Prix,20,,2020
Styrian Grand Prix,5,,2020
